date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-5-8,21,13,28,11,21,2,32,1947,2000,0.00,3.05,7.67,0.00,0.00,0.00,1021,5,21,34,10
2015-5-9,18,14,21,11,21,1,34,1947,1979,0.00,3.30,3.61,0.00,0.00,0.00,1025,7,14,21,9
2015-5-10,22,16,28,11,21,2,34,1966,1979,0.00,3.30,5.33,0.00,0.00,0.00,1023,6,21,37,12
2015-5-11,25,21,29,11,21,2,33,1913,1993,0.0,3.05,4.24,0.00,0.00,0.00,1019,6,21,40,13
2015-5-12,24,18,30,12,21,4,33,1907,1881,0.00,3.30,4.67,0.00,0.00,0.00,1011,9,24,45,14
2015-5-13,17,12,21,12,21,3,31,1895,1956,0.00,3.05,4.22,0.00,0.00,0.00,1019,12,24,42,16
2015-5-14,17,10,23,12,21,4,31,1878,1900,0.00,3.05,8.59,0.00,0.00,0.00,1027,6,21,32,16
2015-5-15,18,13,24,12,22,5,32,1947,1900,0.00,3.30,2.95,0.00,0.00,0.00,1025,5,21,35,16
2015-5-16,19,14,24,12,22,5,32,1878,1951,7.62,3.30,6.76,0.00,0.00,0.00,1022,3,16,26,11
2015-5-17,23,18,28,12,22,3,33,1956,1974,0.51,3.30,2.67,0.00,0.00,0.00,1021,3,11,18,8
2015-5-18,20,16,24,13,22,5,33,1973,2017,0.00,3.30,5.54,0.00,0.00,0.00,1021,7,23,29,10
2015-5-19,21,15,27,13,22,3,37,1976,1962,0.0,3.30,5.13,0.00,0.00,0.00,1013,4,23,42,8
2015-5-20,16,12,19,13,22,6,35,2002,1996,0.00,3.56,5.16,0.00,0.00,0.00,1013,11,23,43,16
2015-5-21,14,11,17,13,22,4,33,1907,1996,0.00,3.56,4.93,0.00,0.00,0.00,1014,4,19,26,16
2015-5-22,18,13,23,13,22,6,35,1990,1941,0.00,3.81,3.17,0.00,0.00,0.00,1014,10,29,47,16
2015-5-23,16,9,21,13,23,6,34,1963,1964,0.00,3.81,6.86,0.00,0.00,0.00,1027,7,24,40,16
2015-5-24,21,13,27,13,23,3,33,1963,1975,0.00,3.81,5.26,0.00,0.00,0.00,1026,6,16,29,16
2015-5-25,24,18,29,14,23,5,35,1925,1880,0.00,3.81,2.18,0.00,0.00,0.00,1023,8,21,34,16
2015-5-26,26,19,31,14,23,5,35,1967,1880,0.00,3.81,3.25,0.00,0.00,0.00,1022,8,19,32,16
2015-5-27,26,21,29,14,23,5,35,1961,1880,2.03,3.56,6.65,0.00,0.00,0.00,1021,8,24,37,14
2015-5-28,26,21,29,14,23,6,34,1961,1959,0.00,3.56,2.95,0.00,0.00,0.00,1021,7,19,32,13
